date,company,likecount,retweetcount
1643658004000,Pfizer,50,18
1643643017000,Pfizer,29,8
1643387400000,Pfizer,16,4
1643378428000,Pfizer,50,16
1643307853000,Pfizer,2,1
1643295678000,Pfizer,42,12
1643111695000,Pfizer,41,20
1643111694000,Pfizer,169,108
1643049000000,Pfizer,40,12
1643035680000,Pfizer,15,3
1642712051000,Pfizer,39,16
1642698315000,Pfizer,164,32
1642507601000,Pfizer,45,15
1642431612000,Pfizer,63,13
1642176106000,Pfizer,42,10
1641998048000,Pfizer,30,8
1641913581000,Pfizer,35,5
1641834002000,Pfizer,67,22
1641824296000,Pfizer,31,7
1641824296000,Pfizer,32,5
1641824296000,Pfizer,17,3
1641824293000,Pfizer,61,14
1641571202000,Pfizer,581,151
1641491656000,Pfizer,159,52
1641402008000,Pfizer,59,16
1641385443000,Pfizer,305,93
1641315908000,Pfizer,40,18
1641315907000,Pfizer,95,34
1641228378000,Pfizer,44,21
1641228378000,Pfizer,54,15
1641228377000,Pfizer,127,48
1641161848000,Pfizer,28,7
1640880930000,Pfizer,169,55
1640700001000,Pfizer,54,18
1640617200000,Pfizer,246,52
1640283908000,Pfizer,80,33
1640283907000,Pfizer,541,125
1640197218000,Pfizer,106,41
1640197217000,Pfizer,326,149
1640035343000,Pfizer,32,11
1639773189000,Pfizer,16,4
1639769454000,Pfizer,33,8
1639757043000,Pfizer,96,27
1639663230000,Pfizer,33,9
1639596262000,Pfizer,75,14
1639594850000,Pfizer,30,5
1639515600000,Pfizer,111,20
1639495971000,Pfizer,19,1
1639483310000,Pfizer,95,31
1639483310000,Pfizer,67,29
1639483309000,Pfizer,88,49
1639483309000,Pfizer,473,260
1639412625000,Pfizer,22,8
1639406265000,Pfizer,21,6
1639404030000,Pfizer,62,14
1639317623000,Pfizer,51,14
1639231222000,Pfizer,43,14
1639159200000,Pfizer,31,11
1639143001000,Pfizer,27,9
1639070600000,Pfizer,61,24
1639070598000,Pfizer,189,67
1639062657000,Pfizer,9,5
1639062656000,Pfizer,44,9
1638990001000,Pfizer,16,5
1638982809000,Pfizer,12,1
1638982807000,Pfizer,13,1
1638982805000,Pfizer,3,1
1638982801000,Pfizer,34,3
1638912608000,Pfizer,26,5
1638889206000,Pfizer,16,5
1638889206000,Pfizer,18,4
1638889205000,Pfizer,9,3
1638889204000,Pfizer,35,13
1638799202000,Pfizer,107,16
1638543604000,Pfizer,68,15
1638466423000,Pfizer,282,83
1638383408000,Pfizer,77,18
1638313521000,Pfizer,213,48
1638284404000,Pfizer,21,3
1638113400000,Pfizer,38,8
1637955060000,Pfizer,32,9
1637847290000,Pfizer,31,4
1637847289000,Pfizer,30,4
1637847288000,Pfizer,9,0
1637847287000,Pfizer,9,1
1637847286000,Pfizer,67,19
1637780753000,Pfizer,102,30
1637769600000,Pfizer,29,8
1637762409000,Pfizer,37,4
1637690402000,Pfizer,30,7
1637600388000,Pfizer,52,7
1637503202000,Pfizer,42,11
1637416802000,Pfizer,25,5
1637416800000,Pfizer,25,7
1637344845000,Pfizer,46,8
1637341212000,Pfizer,16,5
1637338803000,Pfizer,61,12
1637330403000,Pfizer,31,5
1637330107000,Pfizer,29,13
1637330106000,Pfizer,27,6
1637330103000,Pfizer,11,3
1637330101000,Pfizer,86,33
1637259267000,Pfizer,22,2
1637255106000,Pfizer,31,10
1637251207000,Pfizer,69,11
1637242813000,Pfizer,52,12
1637242812000,Pfizer,41,8
1637242807000,Pfizer,85,23
1637158644000,Pfizer,38,7
1637092218000,Pfizer,127,45
1637091298000,Pfizer,54,18
1637074802000,Pfizer,984,208
1637064900000,Pfizer,676,337
1636999224000,Pfizer,47,10
1636995603000,Pfizer,54,11
1636984800000,Pfizer,93,30
1636749001000,Pfizer,44,28
1636749000000,Pfizer,23,6
1636747200000,Pfizer,111,30
1636744952000,Pfizer,35,9
1636729202000,Pfizer,25,5
1636657202000,Pfizer,36,4
1636648876000,Pfizer,85,24
1636647269000,Pfizer,32,5
1636640051000,Pfizer,23,3
1636556401000,Pfizer,36,5
1636493250000,Pfizer,4670,1700
1636487461000,Pfizer,68,19
1636487401000,Pfizer,152,54
1636475418000,Pfizer,92,16
1636475416000,Pfizer,48,9
1636131666000,Pfizer,49,5
1636117222000,Pfizer,124,24
1636113606000,Pfizer,519,297
1636050600000,Pfizer,28,3
1636034410000,Pfizer,40,7
1635967949000,Pfizer,18,2
1635865201000,Pfizer,40,10
1635775264000,Pfizer,26,3
1635775248000,Pfizer,36,4
1635775219000,Pfizer,46,9
1635771602000,Pfizer,41,1
1635770911000,Pfizer,112,40
1635609600000,Pfizer,359,83
1635602402000,Pfizer,29,6
1635598817000,Pfizer,52,14
1635545441000,Pfizer,30,12
1635544766000,Pfizer,22,7
1635544764000,Pfizer,11,6
1635544762000,Pfizer,169,61
1635536525000,Pfizer,32,3
1635534002000,Pfizer,17,3
1635523083000,Pfizer,14,2
1635516030000,Pfizer,23,4
1635454789000,Pfizer,54,19
1635429600000,Pfizer,22,4
1635418732000,Pfizer,21,11
1635418732000,Pfizer,25,7
1635418731000,Pfizer,104,23
1635287430000,Pfizer,31,7
1635287429000,Pfizer,38,8
1635287428000,Pfizer,193,55
1635256802000,Pfizer,29,5
1635253200000,Pfizer,35,8
1635217217000,Pfizer,34,3
1635192001000,Pfizer,35,6
1635166831000,Pfizer,27,8
1634918403000,Pfizer,24,3
1634917201000,Pfizer,92,8
1634911202000,Pfizer,25,4
1634907601000,Pfizer,28,8
1634843503000,Pfizer,38,14
1634828413000,Pfizer,38,12
1634736600000,Pfizer,37,12
1634673584000,Pfizer,31,4
1634581174000,Pfizer,40,8
1634562000000,Pfizer,42,9
1634313603000,Pfizer,23,7
1634239812000,Pfizer,71,10
1634223618000,Pfizer,38,5
1634148000000,Pfizer,49,5
1634054405000,Pfizer,78,20
1634047696000,Pfizer,40,12
1633992933000,Pfizer,153,31
1633975579000,Pfizer,73,10
1633974709000,Pfizer,35,8
1633957200000,Pfizer,51,5
1633870801000,Pfizer,51,16
1633633217000,Pfizer,115,50
1633622402000,Pfizer,52,14
1633608027000,Pfizer,112,40
1633608026000,Pfizer,128,28
1633608025000,Pfizer,159,46
1633608015000,Pfizer,3609,1366
1633539739000,Pfizer,54,13
1633460400000,Pfizer,15,1
1633442426000,Pfizer,136,30
1633368637000,Pfizer,54,10
1633364641000,Pfizer,144,60
1633363226000,Pfizer,33,7
1633356027000,Pfizer,37,11
1633123864000,Pfizer,150,53
1632949244000,Pfizer,20,4
1632937098000,Pfizer,206,49
1632928623000,Pfizer,19,7
1632924019000,Pfizer,35,8
1632916802000,Pfizer,30,8
1632863253000,Pfizer,73,25
1632854675000,Pfizer,75,36
1632848451000,Pfizer,28,3
1632834002000,Pfizer,27,8
1632775507000,Pfizer,171,62
1632762044000,Pfizer,26,7
1632752830000,Pfizer,88,21
1632740231000,Pfizer,49,14
1632740230000,Pfizer,54,16
1632740227000,Pfizer,139,57
1632704402000,Pfizer,38,7
1632502816000,Pfizer,30,7
1632497406000,Pfizer,26,6
1632495635000,Pfizer,31,5
1632488403000,Pfizer,26,7
1632431492000,Pfizer,24,10
1632429907000,Pfizer,31,18
1632402901000,Pfizer,21,6
1632330001000,Pfizer,32,3
1632326420000,Pfizer,24,8
1632316260000,Pfizer,36,4
1632254459000,Pfizer,38,10
1632242756000,Pfizer,98,40
1632241821000,Pfizer,28,11
1632162600000,Pfizer,29,10
1632153603000,Pfizer,26,1
1632146407000,Pfizer,33,4
1632136722000,Pfizer,129,25
1632136721000,Pfizer,135,37
1632136720000,Pfizer,67,28
1632136719000,Pfizer,865,419
1631923745000,Pfizer,51,19
1631883625000,Pfizer,132,33
1631797212000,Pfizer,29,6
1631732400000,Pfizer,28,7
1631718003000,Pfizer,36,3
1631710801000,Pfizer,54,16
1631635203000,Pfizer,20,4
1631629455000,Pfizer,27,8
1631629401000,Pfizer,20,2
1631629333000,Pfizer,17,2
1631629280000,Pfizer,14,4
1631629215000,Pfizer,48,11
1631624400000,Pfizer,22,1
1631563133000,Pfizer,22,3
1631545200000,Pfizer,16,2
1631481452000,Pfizer,1,0
1631481341000,Pfizer,0,0
1631481301000,Pfizer,0,0
1631301698000,Pfizer,247,61
1631217600000,Pfizer,73,15
1631212223000,Pfizer,29,5
1631206801000,Pfizer,40,16
1631205002000,Pfizer,36,7
1631199600000,Pfizer,28,8
1631160901000,Pfizer,55,15
1631116801000,Pfizer,22,6
1631036905000,Pfizer,38,7
1631026810000,Pfizer,56,5
1631023207000,Pfizer,32,9
1630677623000,Pfizer,226,76
1630674007000,Pfizer,42,11
1630587603000,Pfizer,283,81
1630583242000,Pfizer,95,34
1630513800000,Pfizer,43,8
1630512003000,Pfizer,21,3
1630080747000,Pfizer,40,9
1629908554000,Pfizer,52,16
1629908552000,Pfizer,193,65
1629897001000,Pfizer,23,4
1629810000000,Pfizer,57,21
1629743401000,Pfizer,61,20
1629732352000,Pfizer,73,13
1629732351000,Pfizer,118,33
1629732350000,Pfizer,69,21
1629732349000,Pfizer,800,326
1629378542000,Pfizer,50,6
1628869321000,Pfizer,43,9
1628800254000,Pfizer,62,13
1628789874000,Pfizer,30,10
1628776801000,Pfizer,37,12
1628605115000,Pfizer,75,16
1628526608000,Pfizer,48,11
1628254807000,Pfizer,45,17
1628016268000,Pfizer,71,17
1627995620000,Pfizer,1193,180
1627923600000,Pfizer,28,4
1627918979000,Pfizer,48,8
1627736401000,Pfizer,60,9
1627669800000,Pfizer,84,17
1627570811000,Pfizer,47,4
1627567205000,Pfizer,28,0
1627567204000,Pfizer,22,3
1627567204000,Pfizer,41,9
1627563600000,Pfizer,17,2
1627502522000,Pfizer,280,132
1627502462000,Pfizer,506,289
1627502401000,Pfizer,1506,1055
1627496125000,Pfizer,50,10
1627494875000,Pfizer,18,2
1627488003000,Pfizer,46,6
1627484401000,Pfizer,36,6
1627398054000,Pfizer,181,55
1627390802000,Pfizer,40,6
1627322850000,Pfizer,21,4
1627056027000,Pfizer,226,50
1626963897000,Pfizer,34,11
1626704641000,Pfizer,53,6
1626699601000,Pfizer,52,15
1626534013000,Pfizer,66,13
1626380782000,Pfizer,48,6
1626375601000,Pfizer,40,6
1626372023000,Pfizer,41,6
1626273662000,Pfizer,51,12
1626202801000,Pfizer,69,11
1626196502000,Pfizer,38,3
1626195601000,Pfizer,64,10
1626187204000,Pfizer,4,0
1626112818000,Pfizer,131,40
1625785650000,Pfizer,815,838
1625785650000,Pfizer,481,981
1625785648000,Pfizer,75,50
1625785646000,Pfizer,57,40
1625785645000,Pfizer,445,285
1625665200000,Pfizer,38,12
1625587200000,Pfizer,67,23
1625578231000,Pfizer,87,21
1625495400000,Pfizer,175,29
1625410804000,Pfizer,124,22
1625146223000,Pfizer,96,29
1625065225000,Pfizer,34,3
1624996803000,Pfizer,39,4
1624971614000,Pfizer,40,10
1624906801000,Pfizer,29,6
1624903200000,Pfizer,23,5
1624892400000,Pfizer,41,7
1624885204000,Pfizer,73,14
1624633032000,Pfizer,37,4
1624561203000,Pfizer,33,2
1624550404000,Pfizer,29,4
1624540691000,Pfizer,24,3
1624471231000,Pfizer,49,7
1624467610000,Pfizer,33,7
1624457944000,Pfizer,25,8
