date,company,likecount,retweetcount
2022-04-14,Pfizer,18,7
2022-04-14,Pfizer,23,11
2022-04-14,Pfizer,84,33
2022-04-14,Pfizer,525,118
2022-04-11,Pfizer,19,5
2022-04-08,Pfizer,26,8
2022-04-07,Pfizer,29,8
2022-04-05,Pfizer,34,8
2022-04-04,Pfizer,40,4
2022-04-01,Pfizer,26,11
2022-04-01,Pfizer,40,8
2022-03-30,Pfizer,55,17
2022-03-29,Pfizer,24,11
2022-03-29,Pfizer,73,39
2022-03-28,Pfizer,63,20
2022-03-24,Pfizer,74,19
2022-03-23,Pfizer,26,6
2022-03-21,Pfizer,27,6
2022-03-21,Pfizer,30,11
2022-03-18,Pfizer,43,6
2022-03-17,Pfizer,18,6
2022-03-17,Pfizer,66,10
2022-03-16,Pfizer,10,3
2022-03-16,Pfizer,65,11
2022-03-14,Pfizer,83,33
2022-03-14,Pfizer,100,37
2022-03-14,Pfizer,139,45
2022-03-09,Pfizer,34,15
2022-03-09,Pfizer,81,29
2022-03-08,Pfizer,33,11
2022-03-08,Pfizer,46,9
2022-03-08,Pfizer,61,15
2022-03-07,Pfizer,20,2
2022-03-07,Pfizer,16,4
2022-03-04,Pfizer,66,18
2022-03-03,Pfizer,1,0
2022-03-02,Pfizer,19,8
2022-03-02,Pfizer,64,21
2022-02-23,Pfizer,52,16
2022-02-22,Pfizer,32,9
2022-02-22,Pfizer,114,13
2022-02-22,Pfizer,143,39
2022-02-17,Pfizer,119,26
2022-02-15,Pfizer,30,5
2022-02-15,Pfizer,38,17
2022-02-15,Pfizer,170,51
2022-02-14,Pfizer,139,43
2022-02-14,Pfizer,3677,4159
2022-02-11,Pfizer,63,16
2022-02-11,Pfizer,16,2
2022-02-11,Pfizer,29,10
2022-02-11,Pfizer,26,4
2022-02-10,Pfizer,32,5
2022-02-10,Pfizer,39,25
2022-02-10,Pfizer,13,6
2022-02-09,Pfizer,33,6
2022-02-08,Pfizer,41,8
2022-02-07,Pfizer,46,8
2022-02-04,Pfizer,16,7
2022-02-04,Pfizer,311,41
2022-02-04,Pfizer,33,11
2022-02-03,Pfizer,38,9
2022-02-03,Pfizer,27,5
2022-02-03,Pfizer,19,5
2022-02-02,Pfizer,63,13
2022-02-02,Pfizer,45,9
2022-02-01,Pfizer,30,22
2022-02-01,Pfizer,321,155
2022-02-01,Pfizer,64,10
2022-02-01,Pfizer,24,6
2022-02-01,Pfizer,18,6
2022-01-31,Pfizer,50,18
2022-01-31,Pfizer,29,8
2022-01-28,Pfizer,16,4
2022-01-28,Pfizer,50,16
2022-01-27,Pfizer,2,1
2022-01-27,Pfizer,42,12
2022-01-25,Pfizer,41,20
2022-01-25,Pfizer,169,108
2022-01-24,Pfizer,40,12
2022-01-24,Pfizer,15,3
2022-01-20,Pfizer,39,16
2022-01-20,Pfizer,164,32
2022-01-18,Pfizer,45,15
2022-01-17,Pfizer,63,13
2022-01-14,Pfizer,42,10
2022-01-12,Pfizer,30,8
2022-01-11,Pfizer,35,5
2022-01-10,Pfizer,67,22
2022-01-10,Pfizer,31,7
2022-01-10,Pfizer,32,5
2022-01-10,Pfizer,17,3
2022-01-10,Pfizer,61,14
2022-01-07,Pfizer,581,151
2022-01-06,Pfizer,159,52
2022-01-05,Pfizer,59,16
2022-01-05,Pfizer,305,93
2022-01-04,Pfizer,40,18
2022-01-04,Pfizer,95,34
2022-01-03,Pfizer,44,21
2022-01-03,Pfizer,54,15
2022-01-03,Pfizer,127,48
2022-01-02,Pfizer,28,7
2021-12-30,Pfizer,169,55
2021-12-28,Pfizer,54,18
2021-12-27,Pfizer,246,52
2021-12-23,Pfizer,80,33
2021-12-23,Pfizer,541,125
2021-12-22,Pfizer,106,41
2021-12-22,Pfizer,326,149
2021-12-20,Pfizer,32,11
2021-12-17,Pfizer,16,4
2021-12-17,Pfizer,33,8
2021-12-17,Pfizer,96,27
2021-12-16,Pfizer,33,9
2021-12-15,Pfizer,75,14
2021-12-15,Pfizer,30,5
2021-12-14,Pfizer,111,20
2021-12-14,Pfizer,19,1
2021-12-14,Pfizer,95,31
2021-12-14,Pfizer,67,29
2021-12-14,Pfizer,88,49
2021-12-14,Pfizer,473,260
2021-12-13,Pfizer,22,8
2021-12-13,Pfizer,21,6
2021-12-13,Pfizer,62,14
2021-12-12,Pfizer,51,14
2021-12-11,Pfizer,43,14
2021-12-10,Pfizer,31,11
