distributed_janssen,distributed_moderna,distributed_pfizer,distributed_novavax,date
47100500,406176320,585159525,0.0,2021-09-17
47421800,406976400,588566565,0.0,2021-09-18
47421800,406999520,588568905,0.0,2021-09-19
47421800,406921920,588609855,0.0,2021-09-20
47552800,407311300,589613715,0.0,2021-09-21
47686600,407712580,591465825,0.0,2021-09-22
47898200,409324700,592468515,0.0,2021-09-23
48050100,409988260,593885385,0.0,2021-09-24
48347100,410767080,595221525,0.0,2021-09-25
48347100,410759640,595235565,0.0,2021-09-26
48347100,410769020,595244925,0.0,2021-09-27
48505300,411389020,596522565,0.0,2021-09-28
48815000,411938060,598300965,0.0,2021-09-29
48819300,412081480,599543595,0.0,2021-09-30
49124000,413630520,603391725,0.0,2021-10-01
49297900,413945020,605844135,0.0,2021-10-02
49297900,413639920,606254805,0.0,2021-10-03
49299100,413603200,606422115,0.0,2021-10-04
49382900,413794960,608364405,0.0,2021-10-05
49579300,414857980,610225515,0.0,2021-10-06
49722700,416084320,613956555,0.0,2021-10-07
49886300,417264060,619767405,0.0,2021-10-08
50070700,417755280,622255635,0.0,2021-10-09
50071300,417776720,622290735,0.0,2021-10-10
50071300,417769680,622383165,0.0,2021-10-11
50121000,418155100,623845215,0.0,2021-10-12
50293700,419133960,625764015,0.0,2021-10-13
50380700,420364260,628873065,0.0,2021-10-14
50559100,421411000,632587725,0.0,2021-10-15
50718900,421891980,635718825,0.0,2021-10-16
50720100,421506360,635736375,0.0,2021-10-17
50721300,421436640,635724675,0.0,2021-10-18
50844500,422324980,637591545,0.0,2021-10-19
51037100,423526320,639275895,0.0,2021-10-20
51350300,425499740,641215035,0.0,2021-10-21
49063300,396759820,571207860,0.0,2021-10-22
49330600,398579140,572948190,0.0,2021-10-23
49330600,398472780,572997330,0.0,2021-10-24
49330600,398323700,572997330,0.0,2021-10-25
49640900,399474760,573940170,0.0,2021-10-26
50290200,402474920,576457020,0.0,2021-10-27
50787600,406218280,578433240,0.0,2021-10-28
51727100,408761500,583349580,0.0,2021-10-29
52029200,412125240,587249460,0.0,2021-10-30
52029200,412040480,587329920,0.0,2021-10-31
52029200,411774440,587325240,0.0,2021-11-01
52235400,412768140,591426180,0.0,2021-11-02
52403100,414765380,591515190,0.0,2021-11-03
52651100,418776320,591496470,0.0,2021-11-04
52815700,419996060,591755040,0.0,2021-11-05
53002900,421411120,591744240,0.0,2021-11-06
52991600,421152760,591746580,0.0,2021-11-07
52991800,421147680,591746580,0.0,2021-11-08
53275700,423057560,611509570,0.0,2021-11-09
