date,distributed_janssen,distributed_moderna,distributed_pfizer,distributed_novavax
2022-11-09T00:00:00.000,3800,30800,15390,0
2022-11-09T00:00:00.000,93400,924900,1420965,2900
2022-11-09T00:00:00.000,2660900,26687840,45463785,85800
2022-11-09T00:00:00.000,216300,2937020,5195830,1500
2022-11-09T00:00:00.000,626900,4624580,4123140,8500
2022-11-09T00:00:00.000,111300,1572180,2028715,6900
2022-11-09T00:00:00.000,260700,2881140,4484575,18400
2022-11-09T00:00:00.000,90600,1263900,1901125,3700
2022-11-09T00:00:00.000,600,25500,100710,0
2022-11-09T00:00:00.000,73800,878820,1389370,1800
2022-11-09T00:00:00.000,233500,2669160,3840655,5800
2022-11-09T00:00:00.000,627700,5919200,10584980,6800
2022-11-09T00:00:00.000,860100,10151000,15618055,32400
2022-11-09T00:00:00.000,260000,2423300,4511210,4700
2022-11-09T00:00:00.000,963100,10614720,15505390,21700
2022-11-09T00:00:00.000,106300,1002600,1391695,5700
2022-11-09T00:00:00.000,1561400,14658820,22623165,42900
2022-11-09T00:00:00.000,629800,8231580,12707690,9600
2022-11-09T00:00:00.000,16200,175220,206010,0
2022-11-09T00:00:00.000,951700,10382760,16493240,33900
2022-11-09T00:00:00.000,352500,4288180,6387645,7700
2022-11-09T00:00:00.000,124800,1650420,2533760,3200
2022-11-09T00:00:00.000,3700,28320,107710,200
2022-11-09T00:00:00.000,529100,5975240,9405590,13200
2022-11-09T00:00:00.000,392400,4505200,6262475,10200
2022-11-09T00:00:00.000,170800,2042920,2872625,7500
2022-11-09T00:00:00.000,262400,3214820,4273360,24000
2022-11-09T00:00:00.000,12800,123140,128160,0
2022-11-09T00:00:00.000,338000,3714080,4897480,19400
2022-11-09T00:00:00.000,49200,511940,635445,2200
2022-11-09T00:00:00.000,12800,72500,59980,1100
2022-11-02T00:00:00.000,4067700,42293320,71925460,123100
2022-11-02T00:00:00.000,86800,754660,1135445,4400
2022-11-02T00:00:00.000,501700,5058080,8981570,19900
2022-11-02T00:00:00.000,3100,45440,116420,200
2022-11-02T00:00:00.000,293000,3236980,4995180,15400
2022-11-02T00:00:00.000,628900,4593880,4097640,8100
2022-11-02T00:00:00.000,846000,8864880,15711230,23400
2022-11-02T00:00:00.000,515400,5798100,10531665,11100
2022-11-02T00:00:00.000,2464700,20973480,33680915,42400
